Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS
Date,,,,,,,,,,,,,,,,,,,,
2020-12-21,9.0,86.3210678100586,74623.84375,235.0159149169922,9.5,86.39452201143068,76983.17349480712,248.2107650967807,9.0,84.31759310873788,74039.11439089358,231.64800496292168,9.470000267028809,85.03769417792094,76614.31107511485,247.703282231031,41461360.0,36568000.0,1046.0,55160758.0
2020-12-22,8.960000038146973,85.53347778320312,75524.6875,237.5533905029297,9.09000015258789,86.22354591256064,76011.69345791824,238.7067862071407,8.550000190734863,84.99129491834705,73134.16971566116,229.06438685630673,8.699999809265137,86.07590297119219,74674.81496532758,235.10818316227991,71457090.0,18734000.0,904.0,51189571.0
2020-12-23,9.399999618530273,85.97417449951172,75180.3203125,242.67446899414062,9.399999618530273,86.74885885416467,76587.75505813106,243.5049083132559,9.029999732971191,85.60990224219043,74702.93558847634,235.84637169608274,9.029999732971191,85.76226291525929,76100.49340878277,237.09204475429377,56908830.0,20676000.0,1480.0,29056404.0
2020-12-24,9.579999923706055,86.2952651977539,75292.265625,246.2269287109375,9.729999542236328,86.65010959091123,75944.909535494,248.07236189871432,9.460000038146973,85.81189109023948,75182.49620089169,244.1969409407527,9.520000457763672,86.10420096497573,75538.71618665005,244.5198973804288,49890820.0,6936000.0,451.0,28585509.0
2020-12-28,10.050000190734863,88.14340209960938,74770.609375,253.93161010742188,10.050000190734863,88.86985660913243,76192.11969648335,254.6697720962448,9.5600004196167,86.66673026679015,74539.07875397617,247.28803957171598,9.649999618530273,86.9297568995485,75359.00298848585,247.98007699589056,79847955.0,27860000.0,786.0,36870242.0
2020-12-29,10.09000015258789,87.2813720703125,74994.9921875,256.42291259765625,10.359999656677246,88.95482552720192,75314.37706712657,258.2683456183793,9.550000190734863,87.15085075792022,74268.27519357223,253.47023665994325,10.170000076293945,88.72405815229808,75314.37706712657,254.94656054926315,68927880.0,25988000.0,949.0,45032526.0
2020-12-30,10.010000228881836,86.32850646972656,76369.0546875,255.500244140625,10.220000267028809,87.59774198473478,76950.91012354982,257.16115106709555,9.850000381469727,85.6376886789627,74621.2263699601,251.44029636327224,10.140000343322754,87.44463920599118,75061.48156748887,256.5152381247328,30731290.0,26122000.0,1292.0,30971894.0
2020-12-31,9.960000038146973,86.9419174194336,75073.8203125,253.70095825195312,10.149999618530273,87.29179417890073,76715.90740263068,255.82319531737502,9.899999618530273,86.12504609512048,74764.05672493989,251.5325684578442,10.100000381469727,86.12504609512048,75660.43215304792,253.74708282156226,25715205.0,20238000.0,1377.0,29467966.0
