Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2020-01-02,67.90382385253906,67.9420601209077,66.62159794771749,66.62159794771749,28132000
2020-01-03,67.57058715820312,68.15856627305749,66.81992586515675,66.93493774743344,23728000
2020-01-06,69.2366943359375,69.35041046473987,67.04121605389896,67.04121605389896,34646000
2020-01-07,69.1935043334961,69.67272317787821,69.04650761672293,69.42194446033567,30054000
2020-01-08,69.73876190185547,70.0992936464338,69.06933934334683,69.1309144280784,30560000
2020-01-09,70.50899505615234,70.88144630493284,70.03423943909009,70.5457461254188,30018000
2020-01-10,71.00062561035156,71.25880752665975,70.43549273531444,70.89285784756291,36414000
2020-01-13,71.47240447998047,71.53646500448443,70.81639409579765,71.31845917411077,33046000
2020-01-14,71.05773162841797,71.60001823554667,70.93308868283479,71.46147050516532,31178000
2020-01-15,71.47090148925781,71.5799043888649,71.02445561952192,71.02445561952192,25654000
2020-01-16,72.0916519165039,72.10605681797274,71.55631394755552,71.88010218520081,23474000
2020-01-17,73.51641082763672,73.5613532153852,72.41544735720358,72.64835061632296,47924000
2020-01-21,73.71554565429688,74.08551143622914,73.06002787895284,73.45334005966713,40734000
2020-01-22,73.79251861572266,74.64984900063922,73.74186276485368,74.04330485960594,32216000
2020-01-23,73.8272705078125,74.26776041302352,73.60132345729586,73.8764411567763,27024000
2020-01-24,72.83705139160156,74.26651615995436,72.76454192478099,74.17191059058923,35692000
2020-01-27,71.20770263671875,71.41478920034972,70.57701648729619,71.06369150781515,35104000
2020-01-28,72.13436126708984,72.30519688737174,71.13668730667496,71.65961328386072,31548000
2020-01-29,72.43580627441406,72.77349174300416,71.84534166690698,72.44424765337486,21554000
2020-01-30,72.29724884033203,72.36875807813423,71.3318551861541,71.50864675414853,26788000
2020-01-31,71.2240982055664,73.00689625279898,70.941031637002,72.9458137062416,48344000
2020-02-03,73.79202270507812,73.99364588484838,72.45368519801852,72.60315974868554,60736000
2020-02-04,71.86173248291016,72.97560806049543,70.8302929578195,72.35833411323341,78660000
2020-02-05,71.91934204101562,72.69453954452206,71.04184774666115,72.62402295669747,39724000
2020-02-06,73.30982208251953,73.5963591584658,71.98588197112542,72.02362569501838,33588000
2020-02-07,73.45880889892578,73.78706035093559,72.81918117631908,72.86635893989194,23446000
2020-02-10,74.92129516601562,74.96201686466415,73.2149771862286,73.2149771862286,28398000
2020-02-11,74.92675018310547,75.96166771448218,74.77022096189218,75.07672483316374,26892000
2020-02-12,75.39752960205078,75.51795943123352,74.89298673750011,75.20931868546857,23352000
2020-02-13,75.21825408935547,75.83999870106719,74.71867455338952,75.12042048974291,18590000
2020-02-14,75.52020263671875,75.52020263671875,74.85475066001621,75.26494562756126,23956000
2020-02-18,75.46705627441406,76.06099138957565,75.11546602411893,75.23514568129174,22414000
2020-02-19,75.81568145751953,76.08463865963621,75.55297572584142,75.7352307161302,18986000
2020-02-20,75.39157104492188,75.9621672981893,74.82892362991262,75.58275992775464,21932000
2020-02-21,73.75080871582031,75.09684500790664,73.51889810856778,74.88901582231229,34634000
2020-02-24,70.59639739990234,71.36017558216192,70.08986913588802,70.82085930093804,57342000
2020-02-25,68.95065307617188,71.41826363554055,68.65021121542527,71.16301421993741,49566000
2020-02-26,69.185546875,70.30390084854004,68.48136608278737,69.33254357346263,44048000
2020-02-27,65.45657348632812,68.11904834218122,65.41088091856138,67.64012506513951,59566000
2020-02-28,66.51134490966797,66.60122968273528,63.11806590820636,63.440857722867264,75782000
2020-03-02,68.9834213256836,69.07082823713633,65.8898455959875,67.1211653604801,48630000
2020-03-03,66.61365509033203,70.02828410757648,66.14734084879593,69.49543148623361,48046000
2020-03-04,68.85479736328125,68.93277023558767,66.69905582632043,67.49957731533306,38266000
2020-03-05,65.50374603271484,67.48369652452459,64.81147716481703,67.0511554058777,51226000
2020-03-06,64.479248046875,64.86708921670449,62.62394449639975,63.41900260284171,53212000
2020-03-09,60.36490249633789,62.31157981156272,59.59219054682139,59.85538878220008,67308000
2020-03-10,63.584373474121094,63.622117196478875,60.52431311858821,62.571802076565305,52228000
2020-03-11,60.35746383666992,62.61948459811907,59.397037145210604,62.06031138973696,52170000
2020-03-12,55.366607666015625,59.287775749531086,55.28665705134688,55.91733941644847,84534000
2020-03-13,60.57199478149414,60.573483768117484,55.47750850827753,58.549337166247156,74002000
2020-03-16,53.84800338745117,57.22176643234208,53.35686516792831,54.427537393440815,85048000
2020-03-17,55.60945129394531,56.15869029332871,52.44162684986951,54.284018412682315,77230000
2020-03-18,54.46726608276367,54.94897026257438,51.511491499298955,52.46645848002609,84668000
2020-03-19,55.38548278808594,57.50497742074177,52.645137610709675,54.28104124933974,73022000
2020-03-20,53.2515869140625,56.81073069227061,52.91240866884166,56.40003941808992,72036000
2020-03-23,52.471923828125,53.20192884609394,50.332363822196605,52.70532720543696,80882000
2020-03-24,56.33747100830078,56.36428792205086,54.16036801606106,54.81340040571411,66890000
2020-03-25,54.74983596801758,57.0545636659551,53.93143513973507,55.94068803641491,81630000
2020-03-26,57.69269561767578,58.100901458540704,54.30487622162832,55.21216912318002,71434000
2020-03-27,55.15803527832031,57.14245634110623,54.91966863467143,55.900952354857296,64170000
2020-03-30,56.95126724243164,57.190134018651946,54.451376356117265,55.8696682045626,51482000
2020-03-31,57.74532699584961,58.366078966021476,56.52021327171048,56.975100497313356,49728000
2020-04-01,54.905269622802734,56.10059242596996,54.499549198520704,55.71870336433194,46884000
2020-04-02,55.66109848022461,55.96005136655423,54.44740394113542,54.53977036171498,39298000
